,season,name,fault
1397,2019,Kimi Räikkönen,1
1398,2020,Kimi Räikkönen,1
1399,2014,Jean-Éric Vergne,1
1400,2014,Daniil Kvyat,1
1401,2015,Daniil Kvyat,1
1402,2016,Daniil Kvyat,1
1403,2017,Daniil Kvyat,1
1404,2019,Daniil Kvyat,1
1405,2020,Daniil Kvyat,1
1406,2014,Sergio Pérez,0
1408,2016,Sergio Pérez,1
1409,2017,Sergio Pérez,1
1410,2018,Sergio Pérez,1
1411,2019,Sergio Pérez,1
1412,2020,Sergio Pérez,1
1413,2014,Adrian Sutil,1
1414,2014,Esteban Gutiérrez,0
1415,2016,Esteban Gutiérrez,1
1416,2014,Max Chilton,1
1417,2014,Jules Bianchi,1
1418,2014,Romain Grosjean,0
1419,2015,Romain Grosjean,1
1420,2016,Romain Grosjean,1
1422,2018,Romain Grosjean,1
1424,2020,Romain Grosjean,1
1425,2014,Pastor Maldonado,1
1426,2015,Pastor Maldonado,1
1427,2014,Marcus Ericsson,0
1428,2015,Marcus Ericsson,1
1429,2016,Marcus Ericsson,1
1430,2017,Marcus Ericsson,1
1431,2018,Marcus Ericsson,1
1432,2014,Sebastian Vettel,1
1433,2015,Sebastian Vettel,1
1434,2016,Sebastian Vettel,1
1435,2017,Sebastian Vettel,1
1436,2018,Sebastian Vettel,1
1437,2019,Sebastian Vettel,1
1438,2020,Sebastian Vettel,1
1439,2014,Lewis Hamilton,1
1440,2015,Lewis Hamilton,1
1441,2016,Lewis Hamilton,1
1442,2017,Lewis Hamilton,1
1443,2018,Lewis Hamilton,1
1444,2019,Lewis Hamilton,1
1445,2020,Lewis Hamilton,1
1446,2014,Felipe Massa,1
1447,2015,Felipe Massa,1
1448,2016,Felipe Massa,1
1449,2014,Kamui Kobayashi,0
1450,2014,Daniel Ricciardo,1
1451,2015,Daniel Ricciardo,1
1452,2016,Daniel Ricciardo,1
1453,2017,Daniel Ricciardo,0
1454,2018,Daniel Ricciardo,1
1455,2019,Daniel Ricciardo,1
1456,2020,Daniel Ricciardo,1
1457,2015,Will Stevens,1
1458,2015,Felipe Nasr,1
1459,2016,Felipe Nasr,1
1461,2016,Carlos Sainz,1
1462,2017,Carlos Sainz,1
1463,2018,Carlos Sainz,1
1464,2019,Carlos Sainz,1
1465,2020,Carlos Sainz,1
1466,2015,Max Verstappen,1
1467,2016,Max Verstappen,1
1468,2017,Max Verstappen,1
1470,2019,Max Verstappen,1
1471,2020,Max Verstappen,1
1472,2015,Roberto Merhi,1
