,season,constructor,fault
1045,2018,mercedes,1
1046,2019,mercedes,0
1047,2020,mercedes,0
1048,2020,mercedes,0
1049,2021,mercedes,0
1050,2021,mercedes,0
1051,2014,williams,0
1052,2015,williams,0
1053,2016,williams,1
1054,2017,williams,0
1055,2014,caterham,0
1056,2014,red_bull,0
1057,2015,red_bull,0
1058,2016,red_bull,0
1059,2017,red_bull,0
1060,2018,red_bull,1
1061,2019,renault,0
1062,2020,renault,1
1063,2020,renault,0
1064,2021,mclaren,0
1065,2021,mclaren,0
1066,2015,manor,1
1067,2015,alfa,0
1068,2016,alfa,0
1069,2015,alphatauri,1
1070,2016,alphatauri,0
1071,2017,alphatauri,1
1072,2018,renault,0
1073,2019,mclaren,0
1074,2020,mclaren,0
1075,2020,mclaren,0
1076,2021,ferrari,0
1077,2021,ferrari,0
1078,2015,alphatauri,0
1079,2016,red_bull,0
1081,2018,red_bull,0
1082,2019,red_bull,0
1083,2020,red_bull,1
1084,2020,red_bull,0
1085,2021,red_bull,0
1086,2021,red_bull,0
1087,2015,manor,0
1088,2016,renault,0
1089,2017,renault,0
1090,2016,manor,0
1091,2017,alfa,0
1092,2016,manor,0
1093,2017,mclaren,0
1095,2017,racing_point,0
1096,2018,racing_point,0
1097,2020,renault,0
1098,2020,renault,1
1099,2021,renault,0
1101,2019,alfa,0
1102,2020,alfa,0
1103,2020,alfa,0
1104,2021,alfa,0
1105,2021,alfa,0
1106,2017,williams,0
1107,2018,williams,0
1108,2019,racing_point,0
1109,2020,racing_point,1
1110,2020,racing_point,0
1111,2021,racing_point,0
1112,2021,racing_point,0
1113,2018,alphatauri,0
1114,2019,red_bull,0
1115,2020,alphatauri,0
1116,2020,alphatauri,0
1118,2021,alphatauri,0
1119,2018,alphatauri,1
1120,2018,alfa,0
1121,2019,ferrari,0
1122,2020,ferrari,0
1124,2021,ferrari,0
1125,2021,ferrari,0
1126,2018,williams,0
1127,2019,mclaren,0
1128,2020,mclaren,0
1129,2020,mclaren,0
1130,2021,mclaren,0
1131,2021,mclaren,0
1132,2019,alphatauri,0
1133,2020,red_bull,1
1134,2020,red_bull,0
1135,2019,williams,0
1136,2020,williams,1
1137,2020,williams,0
1138,2021,williams,1
1139,2021,williams,0
1140,2019,williams,0
1141,2020,williams,0
1142,2020,williams,0
1143,2021,williams,0
1144,2021,williams,0
1145,2021,alphatauri,0
1146,2021,alphatauri,0
1147,2021,haas,0
1148,2021,haas,0
1149,2021,haas,0
1150,2021,haas,0
1151,2014,mercedes,1
1152,2015,mercedes,0
1153,2016,mercedes,0
1154,2014,mclaren,0
1155,2016,renault,1
1156,2017,haas,0
1157,2018,haas,0
1161,2014,mclaren,0
1163,2016,mclaren,0
1164,2014,ferrari,0
1165,2015,mclaren,0
1166,2016,mclaren,0
1167,2017,mclaren,1
1168,2018,mclaren,0
1169,2021,renault,0
1170,2014,williams,0
1171,2015,williams,0
1172,2016,williams,0
1173,2017,mercedes,0
1174,2018,mercedes,0
1175,2019,mercedes,0
1176,2020,mercedes,0
1177,2020,mercedes,0
1178,2021,mercedes,0
1179,2014,racing_point,0
1180,2015,racing_point,0
1181,2016,racing_point,0
1182,2017,renault,0
1183,2018,renault,0
1184,2019,renault,0
1185,2020,racing_point,1
1186,2020,racing_point,0
1188,2015,ferrari,0
1189,2016,ferrari,0
1190,2017,ferrari,0
1191,2018,ferrari,0
1192,2019,alfa,0
1193,2020,alfa,0
1194,2020,alfa,0
1195,2021,alfa,0
1196,2014,alphatauri,0
1197,2014,alphatauri,0
1198,2015,red_bull,0
1199,2016,alphatauri,0
1200,2017,alphatauri,0
1201,2019,alphatauri,0
1203,2020,alphatauri,0
1204,2014,racing_point,0
1205,2015,racing_point,0
1206,2016,racing_point,0
1207,2017,racing_point,0
1208,2018,racing_point,0
1209,2019,racing_point,0
1210,2021,red_bull,0
1211,2014,alfa,0
1213,2016,haas,0
1214,2014,manor,0
1215,2014,manor,0
1216,2014,renault,0
1219,2017,haas,0
1222,2020,haas,0
1223,2020,haas,0
1224,2014,renault,0
1226,2014,caterham,1
1227,2015,alfa,0
1228,2016,alfa,1
1229,2017,alfa,0
1231,2014,red_bull,0
1232,2015,ferrari,0
1233,2016,ferrari,0
1234,2017,ferrari,0
1235,2018,ferrari,0
1236,2019,ferrari,0
1237,2020,ferrari,0
1238,2020,ferrari,0
1240,2014,mercedes,0
1241,2015,mercedes,0
1242,2016,mercedes,0
1243,2017,mercedes,0
1244,2018,mercedes,0
1245,2019,mercedes,0
1246,2020,mercedes,0
1247,2020,mercedes,0
1248,2021,mercedes,0
1250,2015,williams,0
1251,2016,williams,0
