,season,name,fault
725,2017,Sergio Pérez,0
726,2018,Sergio Pérez,0
727,2019,Sergio Pérez,0
728,2021,Sergio Pérez,0
729,2014,Adrian Sutil,1
730,2014,Esteban Gutiérrez,1
731,2016,Esteban Gutiérrez,0
732,2014,Max Chilton,0
733,2014,Jules Bianchi,0
734,2014,Romain Grosjean,0
735,2015,Romain Grosjean,0
736,2016,Romain Grosjean,0
737,2017,Romain Grosjean,0
738,2018,Romain Grosjean,0
739,2019,Romain Grosjean,0
740,2014,Pastor Maldonado,1
742,2014,Marcus Ericsson,0
743,2015,Marcus Ericsson,0
744,2016,Marcus Ericsson,1
745,2017,Marcus Ericsson,1
746,2018,Marcus Ericsson,0
748,2015,Sebastian Vettel,0
749,2016,Sebastian Vettel,0
750,2017,Sebastian Vettel,0
751,2018,Sebastian Vettel,0
752,2019,Sebastian Vettel,0
753,2021,Sebastian Vettel,0
754,2014,Lewis Hamilton,0
755,2015,Lewis Hamilton,0
756,2016,Lewis Hamilton,0
757,2017,Lewis Hamilton,0
758,2018,Lewis Hamilton,0
759,2019,Lewis Hamilton,0
760,2021,Lewis Hamilton,0
761,2014,Felipe Massa,0
762,2015,Felipe Massa,0
763,2016,Felipe Massa,0
764,2017,Felipe Massa,0
765,2014,Kamui Kobayashi,0
766,2014,Daniel Ricciardo,0
767,2015,Daniel Ricciardo,0
768,2016,Daniel Ricciardo,0
769,2017,Daniel Ricciardo,0
770,2018,Daniel Ricciardo,0
771,2019,Daniel Ricciardo,0
772,2021,Daniel Ricciardo,0
773,2015,Will Stevens,0
774,2015,Felipe Nasr,0
775,2016,Felipe Nasr,1
776,2015,Carlos Sainz,0
777,2016,Carlos Sainz,0
778,2017,Carlos Sainz,0
779,2018,Carlos Sainz,0
780,2019,Carlos Sainz,0
781,2021,Carlos Sainz,0
782,2015,Max Verstappen,1
783,2016,Max Verstappen,1
784,2017,Max Verstappen,0
785,2018,Max Verstappen,0
786,2019,Max Verstappen,0
787,2021,Max Verstappen,0
788,2015,Roberto Merhi,0
789,2016,Jolyon Palmer,1
790,2017,Jolyon Palmer,0
791,2016,Pascal Wehrlein,0
792,2017,Pascal Wehrlein,1
793,2016,Rio Haryanto,0
794,2017,Stoffel Vandoorne,1
795,2018,Stoffel Vandoorne,0
796,2017,Esteban Ocon,0
797,2018,Esteban Ocon,0
798,2021,Esteban Ocon,0
799,2019,Antonio Giovinazzi,0
800,2021,Antonio Giovinazzi,0
802,2018,Lance Stroll,0
803,2019,Lance Stroll,0
804,2021,Lance Stroll,0
805,2018,Pierre Gasly,0
806,2019,Pierre Gasly,0
807,2021,Pierre Gasly,0
808,2018,Brendon Hartley,1
809,2018,Charles Leclerc,1
810,2019,Charles Leclerc,1
812,2018,Sergey Sirotkin,0
813,2019,Lando Norris,0
814,2021,Lando Norris,0
815,2019,Alexander Albon,0
816,2019,George Russell,0
817,2021,George Russell,0
818,2019,Robert Kubica,0
819,2021,Nicholas Latifi,0
820,2021,Yuki Tsunoda,0
821,2021,Mick Schumacher,0
822,2021,Nikita Mazepin,0
823,2014,Nico Rosberg,0
824,2015,Nico Rosberg,0
825,2016,Nico Rosberg,0
826,2014,Kevin Magnussen,0
827,2016,Kevin Magnussen,0
828,2017,Kevin Magnussen,0
829,2018,Kevin Magnussen,0
830,2019,Kevin Magnussen,0
831,2014,Jenson Button,0
832,2015,Jenson Button,1
834,2014,Fernando Alonso,0
836,2016,Fernando Alonso,0
839,2014,Valtteri Bottas,0
840,2015,Valtteri Bottas,0
841,2016,Valtteri Bottas,0
842,2017,Valtteri Bottas,0
843,2018,Valtteri Bottas,0
844,2019,Valtteri Bottas,0
845,2014,Nico Hülkenberg,0
846,2015,Nico Hülkenberg,0
847,2016,Nico Hülkenberg,0
848,2017,Nico Hülkenberg,0
849,2018,Nico Hülkenberg,0
850,2019,Nico Hülkenberg,0
851,2014,Kimi Räikkönen,0
852,2015,Kimi Räikkönen,0
853,2016,Kimi Räikkönen,0
854,2017,Kimi Räikkönen,0
855,2018,Kimi Räikkönen,0
856,2019,Kimi Räikkönen,0
857,2014,Jean-Éric Vergne,0
859,2015,Daniil Kvyat,0
860,2016,Daniil Kvyat,0
862,2019,Daniil Kvyat,0
863,2014,Sergio Pérez,1
864,2015,Sergio Pérez,0
865,2016,Sergio Pérez,0
866,2017,Sergio Pérez,0
867,2018,Sergio Pérez,0
868,2019,Sergio Pérez,0
869,2014,Adrian Sutil,0
871,2016,Esteban Gutiérrez,0
872,2014,Max Chilton,1
873,2014,Jules Bianchi,1
874,2014,Romain Grosjean,1
875,2015,Romain Grosjean,0
876,2016,Romain Grosjean,0
877,2017,Romain Grosjean,0
878,2018,Romain Grosjean,0
879,2019,Romain Grosjean,0
881,2015,Pastor Maldonado,0
883,2015,Marcus Ericsson,0
884,2016,Marcus Ericsson,0
885,2017,Marcus Ericsson,0
886,2018,Marcus Ericsson,0
887,2014,Sebastian Vettel,0
888,2015,Sebastian Vettel,0
889,2016,Sebastian Vettel,0
890,2017,Sebastian Vettel,0
891,2018,Sebastian Vettel,0
892,2019,Sebastian Vettel,0
894,2015,Lewis Hamilton,0
895,2016,Lewis Hamilton,0
896,2017,Lewis Hamilton,0
897,2018,Lewis Hamilton,0
898,2019,Lewis Hamilton,0
899,2014,Felipe Massa,1
900,2015,Felipe Massa,0
901,2016,Felipe Massa,1
902,2017,Felipe Massa,1
904,2014,Daniel Ricciardo,0
905,2015,Daniel Ricciardo,0
906,2016,Daniel Ricciardo,0
907,2017,Daniel Ricciardo,0
908,2018,Daniel Ricciardo,0
909,2019,Daniel Ricciardo,0
910,2015,Will Stevens,0
911,2015,Felipe Nasr,0
912,2016,Felipe Nasr,0
913,2015,Carlos Sainz,0
914,2016,Carlos Sainz,0
915,2017,Carlos Sainz,1
916,2018,Carlos Sainz,0
917,2019,Carlos Sainz,0
918,2015,Max Verstappen,0
919,2016,Max Verstappen,0
921,2018,Max Verstappen,0
922,2019,Max Verstappen,0
923,2015,Roberto Merhi,1
924,2016,Jolyon Palmer,1
925,2017,Jolyon Palmer,0
926,2016,Pascal Wehrlein,0
927,2017,Pascal Wehrlein,0
928,2016,Rio Haryanto,0
929,2017,Stoffel Vandoorne,0
930,2018,Stoffel Vandoorne,0
931,2017,Esteban Ocon,0
932,2018,Esteban Ocon,0
933,2019,Antonio Giovinazzi,0
934,2017,Lance Stroll,0
935,2018,Lance Stroll,1
936,2019,Lance Stroll,0
937,2018,Pierre Gasly,0
938,2019,Pierre Gasly,0
939,2018,Brendon Hartley,1
940,2018,Charles Leclerc,0
941,2019,Charles Leclerc,0
942,2018,Sergey Sirotkin,0
944,2019,Alexander Albon,1
945,2019,George Russell,0
946,2019,Robert Kubica,0
947,2014,Nico Rosberg,0
948,2015,Nico Rosberg,0
949,2016,Nico Rosberg,0
950,2014,Kevin Magnussen,0
951,2016,Kevin Magnussen,0
953,2018,Kevin Magnussen,0
